you,vocês
I,EU
to,para
the,a
a,uma
A,UMA
and,e
that,este
it,isto
of,do
me,Eu
what,o que
is,é
in,dentro
this,isto
know,conhecer
I'm,Eu estou
for,por
no,no
have,tenho
my,minha
don't,não
just,apenas
not,não
do,do
be,ser
on,sobre
your,sua
was,foi
we,nós
it's,Está
with,com
so,assim
but,mas
all,tudo
well,Nós vamos
are,são
he,ele
oh,oh
about,cerca de
right,certo
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,Curti
yeah,sim
if,E se
her,sua
she,ela
can,posso
up,acima
want,querer
think,acho
that's,isso é
now,agora
go,vai
him,dele
at,no
how,Como as
got,pegou
there,lá
one,1
did,fez
why,Por quê
see,Vejo
come,venha
good,Boa
they,elas
really,verdade
as,Como
would,gostaria
look,olhar
when,quando
time,Tempo
will,vai
okay,ok
back,de volta
can't,não pode
mean,significa
tell,dizer
I'll,Eu vou
from,a partir de
hey,Ei
were,nós estamos
he's,ele é
could,poderia
didn't,não
yes,sim
his,seu
been,estive
or,ou
something,algo
who,quem
because,Porque
some,algum
had,teve
then,então
say,dizer
ok,OK
take,leva
an,um
way,caminho
us,nós
little,pequena
make,faço
need,precisar
gonna,vai
never,Nunca
we're,estavam
too,também
love,amor
she's,ela é
I've,Eu tenho
sure,claro
them,eles
more,mais
over,sobre
our,nosso
sorry,desculpe
where,Onde
what's,o que é
let,deixar
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
has,tem
uh,uh
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,algum
life,vida
even,até
off,desligado
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensamento
help,ajuda
two,dois
talk,conversa
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nada
again,novamente
things,coisas
let's,vamos
doesn't,não
call,ligar
told,contou
great,excelente
before,antes da
better,Melhor
ever,sempre
night,noite
than,do que
away,um jeito
first,primeiro
believe,acreditam
other,outro
feel,sentir
everything,tudo
work,trabalhar
you've,você tem
fine,multar
home,casa
after,depois
last,último
these,esses
day,dia
keep,guarda
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
I'd,Identidade
guy,cara
long,grandes
isn't,não é
always,sempre
listen,ouço
wanted,desejado
Mr,Senhor
guys,rapazes
huh,Hã
those,Essa
big,grande
lot,muito
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
kind,Gentil
wrong,errado
through,Através dos
talking,falando
made,feito
new,novo
being,ser
guess,acho
hi,Oi
care,Cuidado
bad,mau
mom,mamãe
remember,lembrar
getting,recebendo
we'll,Nós vamos
together,juntos
dad,Papai
leave,sair
mother,mãe
place,"Lugar, colocar"
understand,Compreendo
wouldn't,não faria
actually,na realidade
hear,ouvir
baby,bebê
nice,legais
father,pai
else,senão
stay,fique
done,feito
wasn't,não era
their,seus
course,curso
might,poderia
mind,mente
every,todo
enough,o suficiente
try,tentar
hell,inferno
came,veio
someone,alguém
you'll,você vai
own,ter
family,família
whole,todo
another,outro
house,lar
House,Casa
Jack,Jack
jack,Jack
yourself,você mesma
idea,idéia
ask,perguntar
best,melhor
must,devo
coming,chegando
old,velho
looking,Procurando
woman,mulher
hello,olá
which,que
years,anos
room,quarto
money,dinheiro
left,deixei
knew,sabia
tonight,esta noite
real,real
son,filho
hope,ter esperança
name,nome
same,mesmo
went,fui
um,um
hmm,Hmm
happy,feliz
pretty,bonito
saw,viu
girl,menina
sir,Senhor
show,mostrar
friend,amigo
already,já
saying,ditado
may,poderia
May,Poderia
next,próximo
three,três
job,trabalho
problem,problema
minute,minuto
found,encontrado
world,mundo
thinking,pensamento
haven't,não tenho
heard,ouviu
honey,querida
matter,matéria
myself,Eu mesmo
couldn't,não poderia
exactly,exatamente
having,tendo
ah,ah
probably,provavelmente
happen,acontecer
we've,nós temos
hurt,ferir
boy,Garoto
both,Ambas
while,enquanto
dead,morto
gotta,Tenho que
alone,sozinho
since,desde
excuse,com licença
start,começar
kill,matar
hard,duro
you'd,você faria
today,hoje
car,carro
ready,pronto
until,até
without,sem
whatever,qualquer que seja
wants,quer
hold,aguarde
wanna,quer
yet,ainda
seen,visto
deal,acordo
took,tomou
once,uma vez
gone,se foi
called,chamado
morning,manhã
supposed,suposto
friends,amigos
head,cabeça
stuff,material
most,a maioria
used,usado
worry,preocupar
second,segundo
part,papel
live,viver
truth,verdade
school,escola
face,enfrentar
forget,esquecer
true,verdadeiro
business,o negócio
each,cada
cause,causa
soon,em breve
knows,sabe
few,alguns
telling,contando
wife,esposa
who's,quem é
use,usar
chance,chance
run,corre
move,jogada
anyone,alguém
person,pessoa
bye,tchau
J,J
somebody,alguém
Dr,Dr.
dr,dr
heart,coração
such,tal
miss,senhorita
married,casado
point,ponto
later,mais tarde
making,fazer
meet,encontrar
anyway,de qualquer forma
many,muitos
phone,telefone
reason,razão
damn,droga
lost,perdido
looks,parece
bring,trazer
case,caso
turn,virar
wish,desejar
tomorrow,amanhã
kids,crianças
trust,Confiar em
check,Verifica
change,mudança
end,fim
late,tarde
anymore,não mais
five,cinco
least,ao menos
town,Cidade
aren't,não são
ha,ele tem
working,trabalhando
year,ano
makes,faz
taking,tirando
means,significa
brother,irmão
play,Toque
hate,odiar
ago,atrás
says,diz
beautiful,lindo
